B0,B1,B2,Label
-51,-48,-50,7
-51,-49,-49,7
-52,-49,-49,7
-52,-48,-48,7
-51,-49,-49,7
-50,-48,-49,7
-51,-48,-49,7
-50,-50,-50,7
-51,-50,-50,7
-51,-50,-50,7
-51,-50,-48,7
-51,-50,-50,7
-51,-48,-49,7
-51,-49,-50,7
-51,-50,-50,7
-51,-48,-49,7
-50,-50,-50,7
-51,-49,-49,7
-52,-50,-49,7
-50,-49,-49,7
-51,-48,-49,7
-53,-49,-49,7
-51,-49,-49,7
-51,-52,-49,7
-51,-48,-50,7
-51,-50,-49,7
-51,-50,-49,7
-51,-48,-50,7
-50,-50,-49,7
-51,-50,-49,7
-50,-51,-49,7
-51,-51,-50,7
-51,-49,-49,7
-56,-49,-55,7
-50,-53,-55,7
-52,-48,-56,7
-49,-50,-56,7
-51,-49,-56,7
-52,-50,-56,7
-52,-49,-56,7
-51,-49,-57,7
-52,-49,-55,7
-52,-47,-54,7
-53,-51,-55,7
-52,-49,-56,7
-52,-50,-56,7
-51,-47,-55,7
-52,-50,-56,7
-52,-49,-56,7
-51,-49,-56,7
-52,-47,-57,7
-52,-49,-55,7
-52,-48,-56,7
-52,-49,-57,7
-51,-49,-54,7
-52,-50,-55,7
-52,-52,-55,7
-52,-50,-49,7
-54,-48,-54,7
-57,-47,-49,7
-48,-58,-40,8
-49,-59,-40,8
-49,-62,-41,8
-50,-60,-40,8
-49,-58,-42,8
-49,-60,-39,8
-49,-60,-39,8
-48,-60,-40,8
-51,-59,-40,8
-49,-57,-40,8
-49,-60,-40,8
-49,-60,-40,8
-49,-61,-41,8
-49,-57,-40,8
-49,-58,-40,8
-49,-59,-39,8
-49,-59,-40,8
-49,-59,-40,8
-49,-58,-40,8
-50,-55,-40,8
-49,-57,-39,8
-51,-55,-40,8
-49,-59,-39,8
-50,-55,-40,8
-50,-57,-41,8
-49,-57,-39,8
-49,-58,-40,8
-49,-58,-40,8
-50,-58,-40,8
-49,-58,-39,8
-48,-60,-39,8
-48,-57,-40,8
-48,-57,-40,8
-49,-59,-40,8
-49,-58,-40,8
-49,-59,-40,8
-49,-58,-40,8
-49,-57,-38,8
-49,-59,-39,8
-51,-60,-39,8
-50,-56,-40,8
-50,-57,-40,8
-51,-62,-40,8
-50,-57,-38,8
-49,-58,-40,8
-49,-61,-40,8
-51,-58,-40,8
-50,-59,-40,8
-50,-56,-40,8
-50,-55,-40,8
-50,-58,-40,8
-49,-56,-40,8
-51,-58,-41,8
-51,-56,-41,8
-53,-56,-39,8
-49,-57,-41,8
-54,-58,-40,8
-50,-55,-38,8
-51,-53,-37,8
-56,-45,-39,8
-59,-55,-38,8
-49,-55,-37,8
-54,-57,-37,8
-54,-57,-35,8
-50,-56,-34,8
-50,-56,-36,8
-50,-59,-35,8
-48,-56,-35,8
-51,-57,-35,8
-49,-56,-36,8
-49,-57,-34,8
-49,-61,-34,8
-50,-57,-34,8
-53,-57,-34,8
-56,-58,-35,8
-50,-57,-35,8
-50,-56,-34,8
-49,-55,-35,8
-49,-56,-35,8
-49,-56,-35,8
-49,-58,-35,8
-51,-57,-35,8
-50,-56,-35,8
-54,-54,-36,8
-49,-52,-35,8
-50,-58,-35,8
-50,-57,-34,8
-50,-56,-34,8
-50,-56,-35,8
-50,-56,-35,8
-50,-55,-35,8
-51,-56,-36,8
-49,-58,-34,8
-50,-56,-35,8
-49,-56,-35,8
-49,-57,-35,8
-50,-57,-35,8
-49,-56,-35,8
-50,-57,-35,8
-50,-56,-35,8
-49,-56,-34,8
-50,-56,-35,8
-49,-57,-35,8
-49,-57,-34,8
-50,-55,-36,8
-49,-56,-34,8
-50,-57,-35,8
-55,-53,-35,8
-49,-56,-34,8
-50,-56,-36,8
-50,-55,-35,8
-50,-58,-35,8
-54,-56,-35,8
-50,-58,-35,8
-50,-50,-33,8
-53,-53,-33,8
-53,-53,-34,8
-52,-55,-35,8
-53,-55,-34,8
-52,-52,-40,8
-40,-48,-48,9
-40,-47,-47,9
-40,-49,-48,9
-40,-48,-49,9
-41,-43,-49,9
-40,-43,-48,9
-41,-43,-49,9
-41,-43,-49,9
-41,-43,-47,9
-42,-43,-48,9
-41,-43,-49,9
-41,-42,-49,9
-42,-42,-49,9
-40,-45,-48,9
-41,-42,-49,9
-41,-42,-49,9
-41,-45,-48,9
-41,-43,-48,9
-41,-43,-48,9
-41,-49,-50,9
-40,-43,-49,9
-41,-43,-49,9
-41,-43,-48,9
-41,-43,-48,9
-42,-43,-47,9
-43,-48,-48,9
-41,-43,-48,9
-41,-43,-49,9
-41,-44,-49,9
-40,-43,-48,9
-41,-43,-48,9
-41,-43,-49,9
-41,-43,-48,9
-41,-44,-48,9
-41,-43,-49,9
-41,-47,-49,9
-41,-50,-48,9
-41,-51,-49,9
-41,-46,-49,9
-41,-43,-49,9
-41,-43,-48,9
-41,-42,-49,9
-41,-45,-48,9
-42,-43,-47,9
-40,-43,-49,9
-41,-41,-47,9
-41,-43,-48,9
-42,-43,-49,9
-41,-43,-48,9
-42,-43,-49,9
-41,-43,-49,9
-41,-48,-48,9
-41,-49,-48,9
-41,-50,-49,9
-41,-43,-48,9
-41,-53,-48,9
-41,-42,-48,9
-41,-50,-48,9
-41,-43,-49,9
-41,-45,-48,9
-41,-43,-48,9
-41,-48,-49,9
-41,-44,-48,9
-41,-45,-48,9
-41,-43,-48,9
-41,-52,-49,9
-41,-43,-48,9
-41,-42,-48,9
-42,-42,-49,9
-41,-51,-48,9
-41,-47,-48,9
-41,-48,-48,9
-42,-42,-48,9
-41,-44,-47,9
-42,-47,-48,9
-41,-43,-48,9
-41,-43,-48,9
-41,-43,-48,9
-41,-43,-48,9
-41,-54,-48,9
-41,-42,-48,9
-41,-43,-48,9
-41,-42,-48,9
-41,-43,-48,9
-41,-43,-49,9
-41,-54,-47,9
-41,-51,-48,9
-40,-44,-47,9
-41,-45,-48,9
-41,-43,-49,9
-41,-43,-48,9
-40,-43,-48,9
-41,-57,-48,9
-42,-44,-48,9
-40,-47,-48,9
-40,-44,-48,9
-41,-45,-48,9
-41,-44,-49,9
-41,-45,-49,9
-41,-46,-49,9
-41,-43,-48,9
-41,-44,-48,9
-42,-44,-48,9
-41,-44,-49,9
-42,-44,-47,9
-42,-45,-48,9
-41,-44,-48,9
-44,-44,-49,9
-41,-40,-48,9
-42,-51,-46,9
-41,-43,-48,9
-41,-46,-48,9
-41,-43,-48,9
-41,-48,-49,9
-40,-43,-49,9
-42,-45,-49,9
-41,-43,-48,9
-41,-44,-48,9
-41,-45,-49,9
-41,-44,-49,9
-39,-45,-52,10
-40,-48,-51,10
-40,-49,-50,10
-40,-47,-51,10
-40,-49,-50,10
-41,-46,-51,10
-40,-48,-57,10
-39,-44,-48,10
-40,-45,-53,10
-40,-48,-52,10
-40,-46,-51,10
-39,-47,-54,10
-40,-55,-54,10
-40,-47,-53,10
-40,-45,-53,10
-41,-44,-52,10
-40,-48,-52,10
-40,-47,-53,10
-40,-55,-53,10
-41,-45,-52,10
-42,-46,-53,10
-40,-47,-52,10
-39,-47,-53,10
-40,-51,-50,10
-39,-45,-52,10
-40,-47,-50,10
-40,-47,-52,10
-39,-46,-50,10
-40,-46,-51,10
-40,-47,-54,10
-40,-46,-53,10
-40,-47,-51,10
-41,-47,-50,10
-41,-46,-50,10
-42,-51,-53,10
-39,-49,-52,10
-39,-50,-52,10
-39,-48,-50,10
-39,-49,-53,10
-40,-49,-51,10
-40,-48,-52,10
-39,-47,-54,10
-40,-47,-53,10
-40,-48,-54,10
-39,-48,-53,10
-40,-47,-52,10
-40,-46,-54,10
-39,-49,-54,10
-40,-49,-54,10
-40,-48,-54,10
-40,-49,-52,10
-40,-47,-54,10
-40,-49,-54,10
-40,-49,-53,10
-40,-49,-53,10
-39,-49,-54,10
-39,-50,-52,10
-40,-48,-55,10
-40,-48,-55,10
-40,-48,-55,10
-51,-53,-61,10
-41,-55,-50,10
-44,-56,-51,10
-43,-56,-52,10
-43,-56,-52,10
-45,-54,-51,10
-43,-56,-51,10
-44,-53,-52,10
-43,-55,-52,10
-43,-58,-52,10
-45,-55,-51,10
-47,-52,-49,10
-43,-55,-53,10
-44,-57,-50,10
-44,-57,-53,10
-44,-54,-53,10
-43,-56,-50,10
-45,-68,-51,10
-43,-57,-53,10
-43,-55,-52,10
-43,-58,-49,10
-44,-55,-53,10
-44,-59,-52,10
-44,-58,-53,10
-44,-56,-53,10
-44,-57,-51,10
-44,-56,-53,10
-44,-60,-52,10
-44,-55,-53,10
-49,-55,-53,10
-48,-59,-53,10
-46,-54,-53,10
-49,-55,-50,10
-44,-54,-52,10
-44,-58,-51,10
-47,-59,-54,10
-44,-57,-53,10
-44,-57,-52,10
-44,-57,-51,10
-44,-56,-53,10
-44,-58,-52,10
-44,-54,-53,10
-44,-55,-49,10
-44,-57,-50,10
-44,-58,-49,10
-41,-59,-51,10
-43,-55,-50,10
-43,-57,-52,10
-43,-60,-53,10
-41,-54,-51,10
-42,-57,-52,10
-42,-59,-53,10
-42,-57,-51,10
-43,-57,-49,10
-42,-54,-52,10
-43,-54,-51,10
-43,-58,-52,10
-43,-58,-52,10
-44,-55,-53,10
-43,-56,-50,10
-42,-50,-52,11
-42,-49,-53,11
-42,-50,-53,11
-42,-50,-53,11
-42,-50,-53,11
-42,-51,-54,11
-43,-50,-53,11
-42,-48,-53,11
-42,-48,-52,11
-43,-50,-52,11
-42,-50,-52,11
-42,-49,-53,11
-42,-52,-54,11
-41,-50,-54,11
-41,-50,-53,11
-42,-51,-52,11
-42,-51,-53,11
-41,-52,-53,11
-41,-49,-52,11
-42,-51,-53,11
-42,-50,-53,11
-43,-50,-53,11
-42,-50,-52,11
-42,-51,-53,11
-42,-50,-53,11
-42,-53,-52,11
-41,-50,-53,11
-42,-51,-53,11
-42,-50,-52,11
-41,-50,-52,11
-41,-50,-52,11
-42,-50,-53,11
-41,-50,-52,11
-41,-49,-51,11
-42,-50,-52,11
-41,-51,-53,11
-43,-50,-52,11
-41,-50,-52,11
-41,-50,-52,11
-41,-51,-53,11
-42,-49,-52,11
-41,-51,-52,11
-41,-51,-53,11
-42,-50,-53,11
-41,-50,-53,11
-42,-50,-53,11
-42,-51,-52,11
-42,-50,-52,11
-42,-51,-52,11
-42,-51,-52,11
-42,-51,-52,11
-42,-49,-52,11
-42,-50,-53,11
-41,-50,-52,11
-42,-49,-52,11
-42,-51,-53,11
-41,-50,-51,11
-42,-50,-53,11
-42,-50,-52,11
-42,-49,-53,11
-42,-51,-53,11
-43,-50,-53,11
-42,-49,-52,11
-42,-49,-52,11
-44,-49,-54,11
-41,-48,-52,11
-41,-49,-52,11
